handle,business,niche,area,hot_score,followers,last_post,why
@smith_detail,"Dallas Fort Worth Mobile Detailing | Smith Detail",mobile detailing,Fort Smith AR,,,,""
@dgmobiledetailingllc,"DG Detailing LLC | Fort Smith’s Finest",mobile detailing,Fort Smith AR,,,,""
@faycardetailing,"Fayetteville Mobile Detailing",mobile detailing,Fayetteville AR,,,,""
@mobileglodetailingfayetteville,"Christopher Peralta",mobile detailing,Fayetteville AR,,,,""
@easyshineintl,"Little Rock Mobile Detailing",mobile detailing,Little Rock AR,,,,""
@buckheadmobiledetailing,"Fairbanks Clothing Company",mobile detailing,Fairbanks AK,,,,""
@midnightsunmobiledetailing,"Midnight Sun Mobile Detailing (Fairbanks)",mobile detailing,Fairbanks AK,,,,""
@anchoragemobiledetailing,"Anchorage Mobile Detailing",mobile detailing,Anchorage AK,,,,""
@glossymobiledetailing,"DeShaun Montgomery",mobile detailing,Montgomery AL,,,,""
@skyex.detailing,"Mobile Detailing | The Woodlands • Spring • Montgomery • Conroe",mobile detailing,Montgomery AL,,,,""
@mobile_detailing_montgomery_md,"Ivan M",mobile detailing,Montgomery AL,,,,""
@montgomerymobiledetailinghtx,"Montgomery Mobile Detailing",mobile detailing,Montgomery AL,,,,""
@montgomery.mobile.detailing,"Aiden Montgomery (CEO & Founder)",mobile detailing,Montgomery AL,,,,""
@jc.mobiledetailz,"J&C Mobile Detailing of Huntsville, AL",mobile detailing,Huntsville AL,,,,""
@mmd.huntsville,"Martinez Mobile Detailing LLC",mobile detailing,Huntsville AL,,,,""
@rustysautodetail,"Rusty's Auto Detail | Mobile Detailing Huntsville, AL",mobile detailing,Huntsville AL,,,,""
@huntsville_mobile_detailing,"Huntsville Mobile Detailing",mobile detailing,Huntsville AL,,,,""
@vvs_birmingham,"Mobile Detailing Services",mobile detailing,Birmingham AL,,,,""
@juste.details,"JustéDetails | Mobile Car Detailing Birmingham",mobile detailing,Birmingham AL,,,,""
@pristinecleanautospa,"Birmingham Mobile Detailing",mobile detailing,Birmingham AL,,,,""
@supreme.mobile.detailing,"Mobile Detailing📍Birmingham",mobile detailing,Birmingham AL,,,,""
@knighteddetailing,"Premium Mobile Valeting & Detailing | Birmingham 📍",mobile detailing,Birmingham AL,,,,""
@mesasmobiledetailing,"Mesa's Mobile Detailing & Ceramic Coating",mobile detailing,Mesa AZ,,,,""
@meiklesautodetailing,"Meikles - Mobile Detailing - Mesa Arizona",mobile detailing,Mesa AZ,,,,""
@dingkingexpress,"Mobile Auto Detailing & Dent Repair Specialist | Costa Mesa, CA",mobile detailing,Mesa AZ,,,,""
@elimobiledetailingtucson,"Eli's Elite Mobile Detailing",mobile detailing,Tucson AZ,,,,""
@garagekept.autodetailing,"Tucson,AZ📍Mobile Detailer",mobile detailing,Tucson AZ,,,,""
@julian_cj_detailing,"Julian/CJ | Detailing in Tucson AZ | Mobile Detailing",mobile detailing,Tucson AZ,,,,""
@tucs.onsbest,"Professional Mobile detailing",mobile detailing,Tucson AZ,,,,""
@a.u.detail,"Mobile Detailing Tucson",mobile detailing,Tucson AZ,,,,""
@phxmobiledetailing,"Phoenix Mobile Detailing",mobile detailing,Phoenix AZ,,,,""
